Pregunta,Respuesta
¿La constitución politica de colombia en salud que plantea? ,"El  Artículo 44,  define la salud como derecho fundamental y se considera un servicio público a cargo del Estado, Pero Toda persona tiene el deber de procurar el cuidado integral de su salud y de su
comunidad.
Artículo establece que todo niño menor de un año que no esté cubierto por algún tipo de protección o de
seguridad social, tendrá derecho a recibir atención gratuita en todas las instituciones de salud.

Artículo  52. El ejercicio del deporte, sus  función de desarrollar una mejor salud en el ser humano.

Artículo 64. Es deber del Estado promover el acceso  a los servicios  salud.

Artículo 95. Son deberes de la persona y del ciudadano:
Obrar conforme al principio de solidaridad social, respondiendo con acciones humanitarias
ante situaciones que pongan en peligro la vida o la salud

Artículo 300. Corresponde a las Asambleas  por medio de ordenanzas:
Regular, en concurrencia con el municipio, el Corresponde a las Asambleas Departamentales, deporte, la educación y la salud en los términos que determina la ley. 

Artículo 366. El bienestar general y el mejoramiento de la calidad de vida de la población
son finalidades sociales del Estado. Será objetivo fundamental de su actividad la solución de las necesidades insatisfechas de salud.

Establece funciones y competencia en salud a las entidades territoriales (Departamentos, municipios, Distritos)"
¿Cuál es la Norma que rige el Sistema de Seguridad social en Salud?,"En principio es la ley 100 de 1993  ""Por la cual se crea el Sistema de Seguridad Social Integral y se dictan otras disposiciones"", aunque hay normas subsiguientes que la modifican."
¿Qué otras normas regulan la salud en colombia?,"Ley 112 de 2007, ley 1164 de 2007,  Ley 1438 de 2011, ley 1752 de 2015,  Ley 1755 de 2015, Decreto 2106 de 2019,  Ley 2161 de 2021, Ley 2112 de 2021, igual se han expedido varios decretos reglamentarios."
¿Que modificaciones adelanta la ley 1122 de 2007 a la ley 100?,"Esta norma ajustes al  Sistema General de Seguridad Social en Salud, teniendo como prioridad el mejoramiento en la prestación de los servicios a los usuarios, Evalúa resultados de gestión entre otros aspectos. "
¿Cuál es el tema que modifica la ley 100 mediante la ley 1438 de 2011?,"Entre otras modificaciones fortalece el sistema de salud en Colombia implementando estrategias hacia la calidad del servicio de manera  incluyente y equitativo. A través de un modelo de
"
¿Qué norma garantizar el derecho fundamental a la salud?,"Es mediante la ley 1751  que se garantizar el derecho fundamental a la salud, regula y establece mecanismos de protección, norma que aplica para todos los agentes, usuarios y demás que intervengan de manera directa o indirecta, en la garantía del derecho fundamental a la salud. "
¿Qué tema regula la ley 1755 de 2015?,Esta norma regular el Derecho Fundamental de Petición y se sustituye un título del Código de Procedimiento Administrativo y de lo Contencioso Administrativo.
"¿La Resolucion 1995 de 1999, que regula?",Normas que regula el manejo de la Historia Clínica
"¿Resolucion 4343 de 2012, qué regula?","Unifica la regulación respecto de los lineamientos de la Carta de Derechos y Deberes del Afiliado y del Paciente en el Sistema General de Seguridad Social en Salud y de la Carta de Desempeño de las entidades promotoras de salud de los regímenes contributivo y subsidiado y se dictan otras
disposiciones."
"¿Resolución 2335 de 2023, qué procedimientos establece?","Procedimientos y aspectos técnicos par ala ejecución, seguimiento y ajuste a los acuerdos de voluntades y se dictan otras disposiciones."
"¿Resolución 5596 de 2015, qué tipo de criterios define?","Criterios técnicos para el Sistema de Selección y Clasificación de pacientes en los servicios de urgencias ""Triage"""
"¿Resolucion 429 de 2016, qué propone?",Propone la adopción de la Política de Atención Integral en Salud
"¿Decreto 1652 de 2022, modifica el decreto 780 de 2016, especificaente en que aspecto?",A la determinación del régimen aplicable para el cobro de pagos compartidos o copagos y cuotas moderadoras a los afiliados al Sistema General de Seguridad Social en Salud
"¿Decreto 780 de 2016, qué reglamenta?",Se trata de un Único Reglamentario del Sector Salud y Protección Social 
"¿Decreto 2423 de 1996, qué deternima?","Determina la nomenclatura y clasificación de los procedimientos médicos, quirúrgicos y hospitalarios del Manual Tarifario y se dictan otras disposiciones."
"¿Decreto 441  de 2022,  sustituye  aspectos del decreto 780 de 2016, cuáles?","A  los acuerdos de voluntades entre las entidades responsables de pago, los prestadores de servicios de salud y los proveedores de tecnologías en salud"
"¿Decreto 2644 de 2022, regalmenta?",Se trata del  Decreto Único  Reglamentario del Sector Salud y Protección Social que  modifica el decreto 780 de 2016
"¿Decreto 903 de 2014, qué lineamientos dispone?",El decreto dicta disposiciones en relación con el Sistema Único de Acreditación en Salud.
"¿Decreto 3518 de 2006 , qué reglamenta?","El decreto reglamenta el Sistema de Vigilancia en Salud Pública y dictan
otras disposiciones en salud."
"¿Resolucion 2366 de 2023, qué aspectos actualiza?","Actualizan integralmente los servicios y tecnologías de salud financiados con
recursos de la Unidad de Pago por Capitación (UPC)"
"¿Resolucion 2275 de 2023, qué reglamenta?","Resolución única reglamentaria del Registro Individual de Prestación de Servicios de Salud -RIPS, soporte de la Factura Electrónica de Venta -FEV en salud y se dictan otras disposiciones"
"¿Resolución 2364 de 2023, qué fija?",Fija el valor de la Unidad de Pago por Capitación (UPC) para financiar los servicios y tecnologías de salud de los regímenes subsidiado y contributivo del Sistema General de Seguridad en Salud para la vigencia 2024 y se dictan otras disposiciones
"¿Resolucion 2284 de 2023, qué establece?","Establecen los soportes de cobro de la factura de venta en salud, el Manual Único de Devoluciones, Glosas y Respuestas y se dictan otras disposiciones."
"¿Resolucion 3100  de 2019, que procedimientos regula?",Procedimientos y condiciones de inscripción de los prestadores de servicios de salud y de habilitación de los servicios de salud y se adopta el Manual de Inscripción de restadores y Habilitación de Servicios de Salud
"´¿Resolucion 544de 2023, qu resolución modifica y que aspectso?","Modifica la Resolución 3100 de 2019, en el sentido de adecuar algunos aspectos relacionados con la inscripción de prestadores y la habilitación de servicios de salud."
"¿Resolucion 0256 de 2016, que tema regula?",La  norma emite disposiciones en relación con el Sistema de Información para la Calidad y se establecen los indicadores para el monitoreo de la calidad en salud
"¿Acuerdo 117 de 1998, qué obligatoriedad imporne al sector saldu? ","impone de manera obligatoria al cumplimiento de las actividades, procedimientos e intervenciones de demanda inducida y la atención de enfermedades de interés en salud pública."
