"fuente","articulo","tema","subtema","texto del articulo","categorias","resumen explicativo"
"LEY 100 DE 1993",1,"Sistema de Seguridad Social Integral","Garantía de derechos y cobertura de prestaciones","Sistema de Seguridad Social Integral. El Sistema de Seguridad Social Integral tiene por objeto garantizar los derechos irrenunciables de la persona y la comunidad para obtener la calidad de vida acorde con la dignidad humana, mediante la protección de las contingencias que la afecten.

El Sistema comprende las obligaciones del Estado y la sociedad, las instituciones y los recursos destinados a garantizar la cobertura de las prestaciones de carácter económico, de salud y servicios complementarios, materia de esta Ley, u otras que se incorporen normativamente en el futuro.","seguridad social, derechos irrenunciables, dignidad humana, obligaciones del estado, cobertura salud, prestaciones económicas, servicios complementarios, instituciones seguridad social","El Sistema de Seguridad Social Integral busca garantizar los derechos fundamentales de las personas y la comunidad, asegurando una calidad de vida digna. Incluye la protección frente a contingencias, las obligaciones del Estado y la sociedad, así como los recursos e instituciones que garantizan la cobertura en prestaciones económicas, de salud y servicios complementarios."
"LEY 100 DE 1993",2,"Principios del Sistema de Seguridad Social","Eficiencia, universalidad, solidaridad, integralidad, unidad y participación","Principios. El servicio público esencial de seguridad social se prestará con sujeción a los principios de eficiencia, universalidad, solidaridad, integralidad, unidad y participación

a) EFICIENCIA. Es la mejor utilización social y económica de los recursos administrativos, técnicos y financieros disponibles para que los beneficios a que da derecho la seguridad social sean prestados en forma adecuada, oportuna y suficiente;

b) UNIVERSALIDAD. Es la garantía de la protección para todas las personas, sin ninguna discriminación, en todas las etapas de la vida;

c) SOLIDARIDAD. Es la práctica de la mutua ayuda entre las personas, las generaciones, los sectores económicos las regiones y las comunidades bajo el principio del más fuerte hacia el más débil.

Es deber del Estado garantizar la solidaridad en el régimen de Seguridad Social mediante su participación, control y dirección del mismo.

Los recursos provenientes del erario público en el Sistema de Seguridad se aplicarán siempre a los grupos de población más vulnerables;

d) INTEGRALIDAD. Es la cobertura de todas las contingencias que afectan la salud, la capacidad económica y en general las condiciones de vida de toda la población. Para este efecto cada quien contribuirá según su capacidad y recibirá lo necesario para atender sus contingencias amparadas por esta Ley;

e) UNIDAD. Es la articulación de políticas, instituciones, regímenes, procedimientos y prestaciones para alcanzar los fines de la seguridad social, y

f) PARTICIPACION. Es la intervención de la comunidad a través de los beneficiarios de la seguridad social en la organización, control, gestión y fiscalización de las instituciones y del sistema en su conjunto.

PARÁGRAFO . La seguridad social se desarrollará en forma progresiva, con el objeto de amparar a la población y la calidad de vida.","principios seguridad social, eficiencia, universalidad, solidaridad, integralidad, unidad, participación, cobertura poblacional, equidad social, recursos públicos, control estatal, intervención comunitaria","El servicio público esencial de la seguridad social se rige por los principios de eficiencia, universalidad, solidaridad, integralidad, unidad y participación. Estos principios aseguran la correcta utilización de recursos, la protección sin discriminación, la ayuda mutua, la cobertura de todas las contingencias, la articulación institucional y la participación comunitaria. Además, se establece que la seguridad social se desarrollará progresivamente para proteger a la población y garantizar la calidad de vida, con especial atención a los grupos más vulnerables y bajo supervisión del Estado."
"LEY 100 DE 1993",3,"Garantía estatal y ampliación progresiva de cobertura","Garantía del Estado de seguridad social universal mediante un Sistema de Seguridad Social Integral que amplíe progresivamente la cobertura a todos los sectores de la población, en términos establecidos por la presente Ley.","Del Derecho a la Seguridad Social. El Estado garantiza a todos los habitantes del territorio nacional, el derecho irrenunciable a la seguridad social. Este servicio será prestado por el Sistema de Seguridad Social Integral, en orden a la ampliación progresiva de la cobertura a todos los sectores de la población, en los términos establecidos por la presente Ley.","derecho a la seguridad social, garantía estatal, derecho irrenunciable, cobertura poblacional, ampliación progresiva, sistema de seguridad social integral, acceso universal","El Estado garantiza a todos los habitantes el derecho irrenunciable a la seguridad social. Este derecho se materializa a través del Sistema de Seguridad Social Integral, el cual debe ampliar progresivamente su cobertura a todos los sectores de la población, conforme a lo establecido en la Ley."
"LEY 100 DE 1993",4,"Servicio Público de Seguridad Social","Obligación estatal y prestación por entidades públicas o privadas","Del Servicio Público de Seguridad Social. La Seguridad Social es un servicio público obligatorio, cuya dirección, coordinación y control están a cargo del Estado y que será prestado por las entidades públicas o privadas en los términos y condiciones establecidos en la presente Ley.

Este servicio público es esencial en lo relacionado con el Sistema General de Seguridad Social en Salud. Con respecto al Sistema General de Pensiones es esencial sólo en aquellas actividades directamente vinculadas con el reconocimiento y pago de las pensiones.","servicio público, seguridad social, obligatoriedad, dirección estatal, coordinación estatal, control estatal, entidades públicas, entidades privadas, sistema general de seguridad social en salud, sistema general de pensiones, reconocimiento de pensiones, pago de pensiones","La seguridad social es un servicio público obligatorio bajo la dirección, coordinación y control del Estado. Puede ser prestado por entidades públicas o privadas según lo establecido por la Ley. Es esencial para el Sistema General de Seguridad Social en Salud y, en el Sistema General de Pensiones, sólo para las actividades relacionadas con el reconocimiento y pago de pensiones."
"LEY 100 DE 1993",5,"Creación del Sistema de Seguridad Social Integral","Organización y control estatal","Creación. En desarrollo del artículo 48 de la Constitución Política, organizase el Sistema de Seguridad Social Integral cuya dirección, coordinación y control estarán a cargo del Estado, en los términos de la presente Ley.","creación sistema seguridad social, sistema de seguridad social integral, dirección estatal, coordinación estatal, control estatal, marco constitucional, artículo 48, ley de seguridad social","En desarrollo del artículo 48 de la Constitución Política, se organiza el Sistema de Seguridad Social Integral, cuya dirección, coordinación y control están a cargo del Estado, conforme a los términos establecidos en la Ley."
"LEY 100 DE 1993",6,"Objetivos del Sistema de Seguridad Social Integral","Garantía de prestaciones, servicios complementarios y ampliación de cobertura","Objetivos. El Sistema de Seguridad Social Integral ordenará las instituciones y los recursos necesarios para alcanzar los siguientes objetivos:

1. Garantizar las prestaciones económicas y de salud a quienes tienen una relación laboral o capacidad económica suficiente para afiliarse al sistema.

2. Garantizar la prestación de los servicios sociales complementarios en los términos de la presente Ley.

3. Garantizar la ampliación de cobertura hasta lograr que toda la población acceda al sistema, mediante mecanismos que en desarrollo del principio constitucional de solidaridad, permitan que sectores sin la capacidad económica suficiente como campesinos, indígenas y trabajadores independientes, artistas, deportistas, madres comunitarias, accedan al sistema y al otorgamiento de las prestaciones en forma integral.

El Sistema de Seguridad Social Integral está instituido para unificar la normatividad y la planeación de la seguridad social, así como para coordinar a las entidades prestatarias de las mismas, para obtener las finalidades propuestas en la presente Ley.","objetivos seguridad social, prestaciones económicas, prestaciones de salud, servicios complementarios, ampliación de cobertura, acceso universal, solidaridad, inclusión social, coordinación institucional, unificación normativa","El Sistema de Seguridad Social Integral organiza las instituciones y recursos necesarios para garantizar prestaciones económicas y de salud, ofrecer servicios sociales complementarios y ampliar progresivamente la cobertura a toda la población, incluyendo sectores sin capacidad económica suficiente como campesinos, indígenas, trabajadores independientes, artistas, deportistas y madres comunitarias. Además, unifica la normatividad, planea la seguridad social y coordina a las entidades prestadoras para cumplir los objetivos de la Ley."
"LEY 100 DE 1993",7,"Ámbito de Acción del Sistema de Seguridad Social Integral","Cobertura de contingencias y prestación de servicios complementarios","Ámbito de Acción. El Sistema de Seguridad Social Integral garantiza el cubrimiento de las contingencias económicas y de salud, y la prestación de servicios sociales complementarios, en los términos y bajo las modalidades previstos por esta Ley.","ámbito de acción, sistema de seguridad social integral, cobertura económica, cobertura de salud, servicios sociales complementarios, modalidades de prestación, ley de seguridad social","El Sistema de Seguridad Social Integral garantiza la cobertura de las contingencias económicas y de salud, así como la prestación de servicios sociales complementarios, conforme a los términos y modalidades establecidos por la Ley."
"LEY 100 DE 1993",8,"Conformación del Sistema de Seguridad Social Integral","Composición de entidades, normas, procedimientos y regímenes","Conformación del Sistema de Seguridad Social Integral. El Sistema de Seguridad Social Integral es el conjunto armónico de entidades públicas y privadas, normas y procedimientos y está conformado por los regímenes generales establecidos para pensiones, salud, riesgos profesionales y los servicios sociales complementarios que se definen en la presente Ley.","conformación sistema seguridad social, entidades públicas, entidades privadas, normas y procedimientos, regímenes generales, pensiones, salud, riesgos profesionales, servicios sociales complementarios, ley de seguridad social","El Sistema de Seguridad Social Integral se conforma como un conjunto armónico de entidades públicas y privadas, normas y procedimientos, e incluye los regímenes generales de pensiones, salud, riesgos profesionales y los servicios sociales complementarios definidos por la Ley."
"LEY 100 DE 1993",9,"Destinación de los recursos del Sistema de Seguridad Social","Uso exclusivo de los recursos para fines de seguridad social","Destinación de los recursos. No se podrán destinar ni utilizar los recursos de las instituciones de la seguridad social para fines diferentes a ella.","destinación de recursos, uso exclusivo, instituciones de seguridad social, prohibición de desvío de recursos, ley de seguridad social","Los recursos de las instituciones de la seguridad social deben ser utilizados exclusivamente para los fines del sistema y no pueden destinarse a otros propósitos distintos a la seguridad social."
"LEY 100 DE 1993",10,"Objeto del Sistema General de Pensiones","Garantía de pensiones y cobertura progresiva","Objeto del Sistema General de Pensiones. El Sistema General de Pensiones tiene por objeto garantizar a la población, el amparo contra las contingencias derivadas de la vejez, la invalidez y la muerte, mediante el reconocimiento de las pensiones y prestaciones que se determinan en la presente Ley, así como propender por la ampliación progresiva de cobertura a los segmentos de población no cubiertos con un sistema de pensiones.","sistema general de pensiones, pensiones, amparo contingencias, vejez, invalidez, muerte, prestaciones, ampliación de cobertura, población no cubierta, ley de pensiones","El Sistema General de Pensiones tiene como objetivo garantizar a la población protección frente a las contingencias de vejez, invalidez y muerte, mediante el reconocimiento de pensiones y prestaciones establecidas por la Ley. Además, busca ampliar progresivamente la cobertura hacia los segmentos de población que aún no están incluidos en un sistema de pensiones."
